Issue ID,Category,Title,Severity,What's The Problem?,What Happens To Users/Business?,How To Fix It,What Gets Better After Fix,Phase,Files To Change
DB-003,Backend,No Page Navigation,Critical,"Right now, if there are 500 applications, the system only loads the first 100. The admin has no way to see applications 101-500.","When you grow past 100 customers, admin can't see new ones. You can't manage your own business.","Add pagination: Show 20 results per page, add 'Next' and 'Previous' buttons. Like turning pages in a book.",Admin can see all 500+ customers. They can navigate between pages. Works at any scale.,Phase 2,src/routes/adminRoutes.ts | src/routes/chatRoutes.ts
DB-005,Backend,Notifications Block Everything,High,"When admin changes application status, the system sends email/WhatsApp BUT waits for it to finish before responding. If sending takes 5 seconds, admin waits 5 seconds.","Admin clicks a button, nothing happens for 5-8 seconds. They think it's broken. They click again. Performance feels terrible.",Send emails/WhatsApp in the background (background job queue). Respond to admin instantly (in 100ms). Send emails after.,"Admin gets instant response. No waiting. Emails still go, just don't block the user. Much faster.",Phase 2,src/routes/adminRoutes.ts
DB-006,Backend,Too Many Database Queries,High,"When you update 1 application status, the system runs 4 separate queries. So updating 1000 applications means 4000 queries!","Database connection pool gets exhausted. System becomes slow. At scale (when you grow), everything breaks.",Use transactions and batch queries. Update 1000 records with 1 query instead of 4000. Like doing assembly line vs doing things one by one.,Bulk updates are 50% faster. Database handles more concurrent users. System scales better.,Phase 2,src/routes/adminRoutes.ts
DB-007,Backend,Search is Slow,High,"When searching for bank policies, the system runs 4 queries and searches every character of text. Should be 1 query and blazing fast.",Search takes 150ms when it should take 20ms. Users type in search and wait. Bad experience. Users leave.,Use a single query with better logic (CTE with relevance scoring). Add caching so popular searches are instant.,Search becomes 7.5x faster (150ms to 20ms). Users see results instantly. Better experience.,Phase 2,src/controllers/loanController.ts
DB-009,Backend,Unused AI Vector Search,Medium,Loaded AI embeddings (special search data) for bank policies but never used. Semantic search not implemented. Feature doesn't exist.,Wasted code. No smart recommendations. AI capability unused. Poor search.,Populate vectors when banks updated. Create /search-similar endpoint. Show users similar banks based on AI meaning.,Smart search works. Users find relevant banks. AI capability realized.,Phase 3,src/services/geminiService.ts | src/routes/loanRoutes.ts
COMP-001,Compliance,No Data Retention Policy,Medium,"Data accumulates forever. Old users, old applications, old records all stay indefinitely. Database grows huge.",Database bloats. Speed slows. Compliance regulations violated (GDPR: delete old data). Audit fails.,Define policy: Delete data after 2 years. Add scheduled job to clean old records. Legal compliance.,Database stays lean. Compliance happy. No violations. Legal risk gone.,Phase 3,database
COMP-002,Compliance,GDPR Delete Not Implemented,High,"User requests deletion of their data. System has no way to delete them from everywhere (users table, applications, chat history).",GDPR violation = fines. Customer unhappy. Can't comply with legal request.,"Add delete user endpoint: Remove from users, applications, chat_sessions, token_usage tables. Record deletion reason.",GDPR compliant. User data completely deleted. Legal requirement met.,Phase 3,src/routes/userRoutes.ts
COMP-003,Compliance,No Change Tracking UI,Medium,"Changes are tracked (who changed what), but there's no UI for admins to see this history. Compliance guys have to query database manually.",Can't prove changes in audits. Compliance review is hard. Manual work.,"Build audit trail UI: Show list of all changes (created by, changed from, changed to, when). Filterable by date/user.",Instant compliance answers. Audits easy. Professional system.,Phase 3,src/components/admin/DashboardView.tsx
CONFIG-001,Configuration,.env Not Validated,Medium,"Missing environment variables (.env values) are not checked on startup. Server starts anyway. Hours later, something breaks.",Confusing runtime errors appear hours later. Hard to debug. Production failure.,"On server startup, check if required env vars exist. Show clear error: 'Missing DATABASE_URL' before anything else.",Fails fast with clear message. Easy to fix. No confusing runtime errors.,Phase 1,server.ts
CONFIG-002,Configuration,No Graceful Degradation,Medium,"If email server down, whole app assumes it's down. If WhatsApp fails, whole app fails. No fallback.",One service down = entire system down. Single point of failure.,"Try each service independently. If email down, continue without it. Log error. Retry later.","One service down, others keep working. Resilient system. Better uptime.",Phase 2,server.ts (service init)
DB-001,Database,Type Mismatch (UUID vs TEXT),Critical,"In one table, bank_id is stored as UUID (special ID format). In another table, bank_id is TEXT (just letters and numbers). They don't match.","When you try to connect applications to banks, the system gets confused. You lose records. The database gets broken data.","Make all bank_ids the same format (UUID everywhere, not mix and match). Update the database migration script.",All tables match. Records don't get lost. Database works correctly. No orphaned records.,Phase 1,src/db/init.ts | src/config/db.ts
